Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
Brescia Calcio ,Brescia Calcio,Stadio Mario Rigamonti,45.570556,10.236944
Brighton & Hove Albion F.C. ,Brighton & Hove Albion F.C.,Falmer Stadium,50.86182222,-0.083277777
Brisbane Roar FC,Brisbane Roar FC,Brisbane Stadium,-27.46472222,153.0094444
Bristol City F.C.,Bristol City F.C.,Ashton Gate Stadium,51.44,-2.620278
Bristol Rovers ,Bristol Rovers F.C.,Memorial Stadium,51.4862,-2.58313
Brøndby IF,Brøndby IF,Brøndby Stadium,55.648853,12.418358
Bunyodkor ,F.C. Bunyodkor,Bunyodkor Stadium,41.279722,69.2125
Buriram Utd. ,Buriram United F.C.,Chang Arena,14.966667,103.096111
Burnley F.C. ,Burnley F.C.,Turf Moor,53.789064,-2.230225
Bursaspor ,Bursaspor,Bursa Atatürk Stadium,40.192222,29.048333
Burton Albion ,Burton Albion F.C.,Pirelli Stadium,52.821906,-1.626958
Busan IPark,Busan IPark,Busan Asiad Main Stadium,35.190103,129.058361
Büyükşehir Belediye Erzurumspor,Erzurumspor,Kazım Karabekir Stadium,39.911197,41.238114
C.D. Feirense,C.D. Feirense,Estádio Marcolino de Castro,40.926689,-8.545814
C.D. Nacional,C.D. Nacional,Estádio da Madeira,32.670625,-16.883525
C.D. Palestino,C.D. Palestino,Estadio Municipal de La Cisterna,-33.52083333,-70.67277778
C.D. Santa Clara,C.D. Santa Clara,Estádio de São Miguel,37.763708,-25.622589
C.D. Tondela,C.D. Tondela,Estádio João Cardoso,40.512,-8.08282
C.F. Os Belenenses,C.F. Os Belenenses,Estádio do Restelo,38.702778,-9.207778
C.S. Marítimo,C.S. Marítimo,Estádio dos Barreiros,32.645561,-16.928331
CA Cerro ,C.A. Cerro,Estadio Luis Tróccoli,-34.8675,-56.25194444
CA Colón ,Club Atlético Colón,Estadio Brigadier General Estanislao López,-31.663217,-60.725394
CA Fénix ,Centro Atlético Fénix,Estadio Parque Capurro,-34.87338056,-56.21235833
CA Patronato ,Patronato de Paraná,Estadio Presbítero Bartolomé Grella,-31.743031,-60.507597
CA Temperley ,Club Atlético Tempergey,Estadio Alfredo Beranger,-34.782286,-58.399508
CA Talleres ,Club Atlético Talleres,Estadio Mario Alberto Kempes,-31.368956,-64.246244
Club Atlético Talleres,Club Atlético Talleres,Estadio Mario Alberto Kempes,-31.368956,-64.246244
CA Unión ,Unión de Santa Fe,Estadio 15 de Abril,-31.631853,-60.715867
CD Leganés,CD Leganés,Estadio Municipal de Butarque,40.3404,-3.7607
CD Lugo ,Club Deportivo Lugo,Estadio Anxo Carro,43.003333,-7.570833
CF Pachuca,CF Pachuca,"Hidalgo Stadium "" the hurricane """,20.105144,-98.756114
CFR Cluj,CFR Cluj,Stadionul Dr. Constantin Rădulescu,46.779678,23.577247
CR Vasco da Gama,CR Vasco da Gama,Estádio São Januário,-22.89091667,-43.22825278
CS Concordia Chiajna,CS Concordia Chiajna,Stadionul Concordia,44.462778,25.975278
CS Emelec ,Club Sport Emelec,Estadio George Capwell,-2.206603,-79.893758
CS U Craiova ,FCU Craiova 1948,Stadionul Ion Oblemenco,44.313889,23.784167
Gaz Metan ,CS Gaz Metan Mediaș,Stadionul Gaz Metan,46.172583,24.35275
CS Sedan ,CS Sedan Ardennes,Stade Louis Dugauguez,49.694147,4.938847
CSKA Sofia ,PFC CSKA Sofia,Balgarska Armia Stadium,42.684258,23.339769
Cagliari Calcio,Cagliari Calcio,Sardegna Arena,39.19988889,9.137583333
Calcio Catania,Calcio Catania,Stadio Angelo Massimino,37.515833,15.071389
Calcio Padova ,Calcio Padova,Stadio Euganeo,45.432222,11.858333
Cape Town City F.C.,Cape Town City F.C.,Hartleyvale Stadium,-33.93890688,18.47634789
Cape Umoya Utd. ,Ubuntu Cape Town F.C.,Athlone Stadium,-33.961944,18.516667
Cardiff City F.C. ,Cardiff City F.C.,Cardiff City Stadium,51.472778,-3.203056
Carlisle United ,Carlisle United F.C.,Brunton Park,54.89556,-2.91365
Carpi ,Carpi FC 1909,Stadio Alberto Braglia,44.653611,10.923333
FC Chornomorets Odesa,FC Chornomorets Odesa,Spartak Stadium,46.468389,30.748444
FC Tosno,FC Tosno,Petrovsky Stadium,59.951944,30.286389
FC Volga Nizhny Novgorod,FC Volga Nizhny Novgorod,Lokomotiv Stadium,56.30941944,43.92890556
FC Zürich,FC Zürich,Letzigrund,47.382791,8.503801
PKNS FC ,Selangor FA II,MBPJ Stadium,3.098708333,101.5937694
Pafos FC ,Pafos FC,Pafiako Stadium,34.769186,32.440144
Zira FC ,Zira FK,Zira Olympic Sport Complex Stadium,40.35892,50.29311
